ID,Capacidade,Evidência actual,Estado,Risco,Causa-raiz,Dependências,Teste de aceitação,Rollout
G-011,Compose — chaves aninhadas,"CONFIRMADO: deploy.placement, healthcheck.disable, bind.propagation, depends_on.required, deploy.resources.reservations aceites rc=0 e ausentes do render (raw/compose-nested-config.txt)",FAIL,P2,Allowlist só a 1 nível; structs aninhados sem deny_unknown_fields,—,Sub-chave desconhecida → recusa com caminho completo,Motor
G-012,Docker API — create com campos não suportados,dockerapi.rs:1228 aceita e avisa; NetworkMode/NetworkingConfig/Hostname/ExposedPorts/Volumes ignorados SEM aviso (:1247-1266),PARTIAL,P2,Campos engolidos em silêncio,—,Campo não honrado → aviso ou recusa,Motor
G-013,Docker API — exec/logs/attach/stats/images-create,Recusados com razão (dockerapi.rs:461-532),UNSUPPORTED,P2,Não implementado (hijacking),—,Testcontainers/Dev Containers/GitLab Runner a correr,—
G-014,DELONIX_INTERNAL,definido em 10 sítios; zero leitores,DOCUMENTATION ONLY,P3,Barreira referida em comentário não existe,—,Remover ou implementar com teste,—
G-015,Sockets 0600 após bind,"cri/mgmt/docker-api: chmod após bind, erro ignorado",PARTIAL,P3,Janela bind→chmod; mitigado por SO_PEERCRED,—,Criar com umask restritiva antes do bind,—
G-016,slirp api-socket por container,medido srwxr-xr-x (umask 022) em /tmp/delonix-slirp-<pid>.sock; caminho previsível,PARTIAL,P3,Caminho em /tmp partilhado; squatting possível (inferência),Segundo utilizador local,Socket num dir 0700 do runtime dir,—
G-017,MCP container.restart,name não recusa '-' inicial (delonix-mcp/src/lib.rs:584); mgmt recusa,PARTIAL,P3,Validação divergente entre mgmt e MCP,—,name '-x' → VALIDATION_FAILED,—
G-018,vm bridge,cmd/vmbridge.rs:275 sem verificação de uid,PARTIAL,P3,Só texto do dry-run pede root,—,Não-root → erro claro antes do primeiro comando,—
G-019,OCI hooks,Não executados; hooks CDI ignorados com aviso,UNSUPPORTED,P2,Não implementado,—,Documentado como não suportado na matriz OCI,—
G-020,Supply chain — actions de CI,0 de 20 'uses:' pinados por SHA,FAIL,P2,Tags móveis (@v4/@v2),—,Todos os uses: @<sha40>,CI
G-021,Supply chain — release,v3.1.0: SHA256SUMS + minisign + SBOM SPDX + attest-build-provenance; só x86_64,PARTIAL,P2,Sem aarch64; assinatura/provenance não verificadas nesta sessão,—,gh attestation verify + minisign -V sobre os assets,—
G-022,cargo-audit / cobertura,Ferramentas ausentes no host,NOT TESTED,P3,—,Instalar cargo-audit / cargo-llvm-cov,Relatórios publicados,—
G-023,SELinux,Host só AppArmor,ENVIRONMENT BLOCKED,P2,—,Host Fedora/RHEL enforcing,Bateria CRI/containers com SELinux enforcing,—
G-024,Rootful,Não exercitado,NOT TESTED,P1,Host de produção,VM descartável com root,Bateria completa rootful,—
G-025,Documentação de conformidade,cri-conformance.md e comparacao-medida.md contradizem-se; paridade/COMPARACAO com números v0.x,STALE EVIDENCE,P2,Docs não regeneradas,—,Um número por evidência com versão/data/comando,Docs
G-026,--secret-files com /run não gravável,"CONFIRMADO ao vivo: --tmpfs /run:ro + --secret --secret-files → /run/secrets inexistente, rc=0, sem aviso",FAIL,P2,write_secret_files faz return silencioso se create_dir_all falha,—,Segredos pedidos não entregues → run falha com erro,Motor
G-027,docker run -d via Docker API,"Docker CLI 29.8: rc=124 (pendura 60 s), container criado",FAIL,P1,Documentado como limitação; comando mais comum do ecossistema,—,docker run -d devolve o id em < 5 s,Motor
G-028,docker run --rm via Docker API,rc=1 unable to upgrade to tcp (404); AutoRemove ignorado com aviso; 2 containers órfãos,FAIL,P2,Sem attach/hijack; AutoRemove não honrado,G-027,run --rm não deixa nada no store,Motor
G-029,Estado reportado pela Docker API,docker ps: Up About a minute para echo hi terminado; delonix ls: Exited (unknown)/Dead para os mesmos ids,FAIL,P1,Docker API não reconcilia o estado antes de responder,—,docker ps e delonix ls concordam,Motor
G-030,Harness critest.sh,Isola só DELONIX_ROOT; cleanup chama netns down (inexistente) e engole o erro,FAIL,P2,Script desactualizado face ao corte da CLI v0.30,—,Isola os dois roots; cleanup usa net netns down e verifica,Harness
G-031,Observabilidade do delonix-cri,Servidor registou 77 linhas em 1 129 s e 21 falhas; streaming/port-forward sem causa no log,PARTIAL,P2,Erros devolvidos por gRPC não são registados,—,Cada erro gRPC tem linha de log com id e causa,Motor
G-032,Chaos harness sobre fa8c6297,"scripts/chaos.sh (sandbox isolado): 29 PASS / 0 FAIL / 1 SKIP (truenas-destroy), 177 s; disk-full só testou o padrão de escrita (esgotamento saltado: 90,5 GiB livres) (raw/chaos.log)",PASS,P2,—,TrueNAS de teste; filesystem pequeno para disk-full,truenas-destroy e esgotamento real de disco exercitados,
G-033,Pull tag+digest em conflito,"image pull alpine:3.19@<digest de 3.20> → rc=0, sem aviso; alpine:3.19 local = bf8527eb54c3 (conteúdo 3.20); alpine:3.19 genuíno = 83b2b6703a62 (raw/oci-pull.txt)",FAIL,P2,A tag é gravada mesmo quando o digest pinado não lhe corresponde,—,"Tag+digest em conflito → recusa, ou grava só o digest e avisa",Motor
G-034,Validação de referências OCI,alpine::bad e Alpine/UPPER:1 enviados ao registo (rc=4 not found); alpine@sha256:abc rc=1,PARTIAL,P3,Sem validação da gramática de referência antes da rede,—,Referência inválida → erro de input (rc de uso) sem pedido HTTP,Motor
G-035,Extracção de layer abortada,"Archive com ../, absoluto e symlink → recusado (fail-closed, nada fora do root); mas cada tentativa deixa layers/.<digest>.<pid>.tmp (4 após 4 tentativas); image prune não limpa",PARTIAL,P3,Temporário não removido no caminho de erro,—,Falha de extracção não deixa .tmp; prune remove órfãos,Motor
G-036,PaaS — reaper com host address,"delonix-paas origin/main ui.rs:18970 e cli main.rs:17429 partem o spec pela esquerda; 0.0.0.0:8080:80 fica fora do live set → forward de container vivo removido a cada 30 s (leitura de código, não reproduzido)",FAIL,P1,Parser próprio em vez de delonix_net::parse_publish,Mesmo DELONIX_ROOT partilhado PaaS+CLI,Container com -p IP:H:C mantém o forward após 60 s com o engine PaaS a correr,delonix-paas
G-037,PaaS — forwards sem registo de container,"HTTPRoute listeners (ingress_proxy.rs:1082), netns publish, delonix-mgmt não entram no live set → reaped pelo thread de 30 s (leitura de código)",FAIL,P2,AuthoritativeLivePorts construído só a partir de containers,Root partilhado,Listener HTTPRoute sobrevive a 60 s com engine PaaS,delonix-paas + delonix-net
G-038,backup inspect de arquivo truncado,"Arquivo cortado a metade → inspect rc=0 e lista volumes; restore --force falha antes de tocar nos dados (PID igual, dados intactos)",PARTIAL,P3,"inspect lê só o cabeçalho, sem verificar integridade",—,inspect de arquivo truncado → rc≠0,Motor
G-039,image load: erro sem sujeito,"Archive em formato antigo → ""I/O error: No such file or directory"" sem nomear o ficheiro, rc=74",PARTIAL,P3,io::Error propagado sem contexto,—,Mensagem nomeia a entrada em falta e o formato esperado,Motor
G-040,Achados abertos em origin/main,"b19fddcb (+9 commits): G-007/G-026 write_secret_files, G-008 run_ok antispoof, G-030 critest.sh, G-020 pins — todos presentes (leitura de git show)",STALE EVIDENCE,P2,Medições desta auditoria ligadas a fa8c6297,—,Re-medir G-005 (OOMKilled #309) e G-008 sobre o commit da release candidata,
G-041,vm pause (libvirt) reportado,"vm pause → libvirt paused, vm ls diz Stopped (reproduzido à mão)",FAIL,P2,Mapeamento de estado paused ausente,—,vm ls diz Paused,Corrigido em origin/main 58fdc4e3; não em fa8c6297
G-042,CH vm stop/restart stdout,Saída do qemu-img check impressa no stdout antes do nome da VM,PARTIAL,P3,Output de ferramenta não capturado,—,stdout só com o nome,Motor
G-043,VM providers,"libvirt 51 PASS/1 FAIL; CH core PASS; Proxmox ENVIRONMENT BLOCKED (create partido em fa8c6297 por ipconfig0 duplicado, corrigido depois — inferência git); OpenStack ABSENT; live migration NO-GO ADR-0031",PARTIAL,P2,—,Nó Proxmox de teste,Ciclo completo nos 3 providers declarados,—
